iter	Passed	Remaining
439	8556	10890
440	8573	10867
441	8588	10842
442	8607	10822
443	8627	10803
444	8642	10778
445	8665	10763
446	8681	10739
447	8699	10718
448	8715	10695
449	8731	10671
450	8748	10649
451	8765	10626
452	8784	10607
453	8801	10584
454	8817	10561
455	8842	10549
456	8870	10540
457	8892	10523
458	8914	10506
459	8933	10486
460	8948	10462
461	8964	10438
462	8979	10414
463	8999	10396
464	9016	10373
465	9031	10349
466	9047	10326
467	9065	10304
468	9081	10282
469	9097	10259
470	9115	10237
471	9135	10219
472	9153	10198
473	9172	10178
474	9189	10156
475	9206	10135
476	9224	10113
477	9240	10091
478	9259	10071
479	9278	10051
480	9296	10031
481	9311	10007
482	9327	9984
483	9345	9963
484	9364	9943
485	9383	9924
486	9398	9900
487	9413	9876
488	9429	9853
489	9448	9833
490	9464	9811
491	9479	9787
492	9497	9767
493	9514	9745
494	9535	9728
495	9551	9705
496	9571	9687
497	9589	9666
498	9605	9643
499	9620	9620
500	9637	9598
501	9659	9582
502	9676	9560
503	9691	9537
504	9710	9518
505	9726	9496
506	9742	9473
507	9758	9450
508	9773	9427
509	9795	9411
510	9809	9387
511	9829	9368
512	9847	9348
513	9872	9334
514	9894	9317
515	9911	9297
516	9927	9274
517	9943	9252
518	9958	9229
519	9976	9209
520	9996	9190
521	10014	9170
522	10033	9151
523	10050	9130
524	10067	9108
525	10083	9086
526	10100	9065
527	10118	9045
528	10137	9026
529	10154	9004
530	10173	8985
531	10192	8966
532	10208	8944
533	10233	8930
534	10252	8911
535	10271	8891
536	10288	8870
537	10306	8850
538	10322	8828
539	10337	8805
540	10353	8784
541	10371	8763
542	10388	8742
543	10405	8722
544	10422	8701
545	10438	8679
546	10456	8659
547	10474	8639
548	10490	8617
549	10510	8599
550	10530	8581
551	10550	8562
552	10571	8545
553	10591	8526
554	10614	8510
555	10633	8491
556	10650	8470
557	10669	8451
558	10688	8431
559	10704	8411
560	10721	8389
561	10738	8368
562	10756	8349
563	10773	8328
564	10791	8308
565	10810	8289
566	10844	8281
567	10861	8260
568	10876	8238
569	10897	8221
570	10916	8201
571	10933	8180
572	10951	8160
573	10968	8140
574	10986	8120
575	11004	8100
576	11021	8079
577	11037	8058
578	11053	8037
579	11074	8019
580	11096	8002
581	11114	7982
582	11131	7962
583	11149	7941
584	11167	7922
585	11183	7901
586	11200	7880
587	11216	7859
588	11232	7838
589	11249	7817
590	11265	7796
591	11281	7775
592	11303	7758
593	11323	7739
594	11344	7721
595	11362	7702
596	11380	7682
597	11395	7660
598	11413	7640
599	11432	7621
600	11449	7600
601	11464	7579
602	11486	7562
603	11502	7541
604	11517	7519
605	11535	7500
606	11556	7482
607	11574	7462
608	11591	7442
609	11607	7421
610	11622	7399
611	11638	7378
612	11654	7357
613	11673	7338
614	11688	7317
615	11703	7295
616	11719	7274
617	11734	7253
618	11750	7232
619	11768	7212
620	11785	7192
621	11802	7172
622	11817	7151
623	11834	7130
624	11851	7110
625	11868	7090
626	11884	7069
627	11900	7049
628	11917	7029
629	11933	7008
630	11953	6990
631	11972	6971
632	11989	6951
633	12006	6931
634	12023	6910
635	12041	6891
636	12058	6871
637	12074	6850
638	12091	6830
639	12109	6811
640	12128	6792
641	12147	6773
642	12166	6754
643	12185	6736
644	12202	6715
645	12218	6695
646	12235	6675
647	12259	6659
648	12275	6638
649	12294	6620
650	12314	6601
651	12329	6580
652	12344	6559
653	12364	6541
654	12380	6520
655	12396	6500
656	12413	6480
657	12434	6462
658	12451	6443
659	12467	6422
660	12483	6402
661	12502	6383
662	12522	6365
663	12540	6345
664	12556	6325
665	12571	6304
666	12588	6284
667	12610	6267
668	12626	6247
669	12645	6228
670	12663	6208
671	12680	6189
672	12697	6169
673	12718	6151
674	12742	6135
675	12759	6115
676	12775	6095
677	12792	6075
678	12824	6062
679	12848	6046
680	12868	6028
681	12885	6008
682	12901	5987
683	12916	5967
684	12934	5947
685	12949	5927
686	12967	5907
687	12983	5888
688	12999	5867
689	13019	5849
690	13035	5829
691	13052	5809
692	13067	5788
693	13084	5769
694	13104	5750
695	13122	5731
696	13138	5711
697	13155	5691
698	13171	5671
699	13188	5652
700	13209	5634
701	13230	5616
702	13245	5595
703	13264	5576
704	13280	5556
705	13298	5538
706	13316	5518
707	13337	5500
708	13353	5480
709	13374	5462
710	13390	5442
711	13406	5422
712	13425	5403
713	13440	5383
714	13456	5363
715	13473	5344
716	13493	5326
717	13510	5306
718	13525	5286
719	13541	5266
720	13558	5246
721	13574	5226
722	13589	5206
723	13606	5187
724	13623	5167
725	13639	5147
726	13656	5128
727	13677	5110
728	13696	5091
729	13715	5072
730	13737	5055
731	13752	5035
732	13768	5015
733	13788	4996
734	13804	4977
735	13823	4958
736	13839	4938
737	13856	4919
738	13874	4900
739	13892	4880
740	13911	4862
741	13931	4844
742	13951	4825
743	13969	4806
744	13990	4788
745	14011	4770
746	14030	4752
747	14049	4733
748	14071	4715
749	14088	4696
750	14107	4677
751	14126	4658
752	14144	4639
753	14162	4620
754	14181	4601
755	14199	4583
756	14216	4563
757	14234	4544
758	14254	4526
759	14272	4507
760	14288	4487
761	14305	4468
762	14321	4448
763	14338	4429
764	14360	4411
765	14375	4391
766	14392	4372
767	14410	4353
768	14426	4333
769	14442	4313
770	14460	4294
771	14477	4275
772	14494	4256
773	14510	4236
774	14525	4217
775	14541	4197
776	14558	4178
777	14573	4158
778	14589	4139
779	14607	4120
780	14623	4100
781	14639	4080
782	14653	4061
783	14670	4041
784	14689	4023
785	14706	4004
786	14729	3986
787	14748	3967
788	14767	3949
789	14792	3932
790	14820	3915
791	14837	3896
792	14854	3877
793	14871	3858
794	14886	3838
795	14904	3819
796	14921	3800
797	14936	3780
798	14951	3761
799	14967	3741
800	14991	3724
801	15008	3705
802	15024	3686
803	15044	3667
804	15060	3648
805	15076	3628
806	15096	3610
807	15113	3591
808	15131	3572
809	15149	3553
810	15171	3535
811	15196	3518
812	15218	3500
813	15237	3481
814	15260	3464
815	15284	3446
816	15305	3428
817	15323	3409
818	15343	3391
819	15365	3372
820	15392	3356
821	15415	3338
822	15438	3320
823	15455	3301
824	15475	3282
825	15493	3263
826	15514	3245
827	15536	3227
828	15556	3208
829	15585	3192
830	15607	3174
831	15633	3156
832	15654	3138
833	15679	3120
834	15702	3102
835	15723	3084
836	15744	3066
837	15761	3046
838	15778	3027
839	15798	3009
840	15822	2991
841	15839	2972
842	15857	2953
843	15876	2934
844	15899	2916
845	15919	2897
846	15941	2879
847	15963	2861
848	15991	2844
849	16010	2825
850	16030	2806
851	16052	2788
852	16068	2769
853	16085	2750
854	16101	2730
855	16120	2711
856	16136	2692
857	16154	2673
858	16174	2654
859	16191	2635
860	16211	2617
861	16227	2597
862	16244	2578
863	16260	2559
864	16277	2540
865	16300	2522
866	16318	2503
867	16339	2484
868	16359	2466
869	16375	2446
870	16391	2427
871	16407	2408
872	16425	2389
873	16443	2370
874	16459	2351
875	16478	2332
876	16497	2313
877	16514	2294
878	16532	2275
879	16549	2256
880	16573	2238
881	16589	2219
882	16605	2200
883	16621	2181
884	16636	2161
885	16653	2142
886	16669	2123
887	16684	2104
888	16702	2085
889	16718	2066
890	16734	2047
891	16749	2027
892	16770	2009
893	16800	1992
894	16819	1973
895	16835	1954
896	16853	1935
897	16868	1916
898	16886	1897
899	16906	1878
900	16923	1859
901	16943	1840
902	16958	1821
903	16977	1802
904	16994	1783
905	17011	1765
906	17027	1745
907	17043	1726
908	17059	1707
909	17077	1688
910	17096	1670
911	17112	1651
912	17128	1632
913	17144	1613
914	17162	1594
915	17180	1575
916	17202	1557
917	17221	1538
918	17238	1519
919	17256	1500
920	17277	1481
921	17296	1463
922	17315	1444
923	17332	1425
924	17351	1406
925	17368	1387
926	17387	1369
927	17403	1350
928	17420	1331
929	17437	1312
930	17454	1293
931	17471	1274
932	17489	1255
933	17507	1237
934	17525	1218
935	17544	1199
936	17564	1180
937	17586	1162
938	17604	1143
939	17621	1124
940	17637	1105
941	17655	1087
942	17673	1068
943	17691	1049
944	17707	1030
945	17723	1011
946	17738	992
947	17755	973
948	17771	955
949	17788	936
950	17803	917
951	17819	898
952	17835	879
953	17851	860
954	17869	842
955	17889	823
956	17908	804
957	17923	785
958	17939	766
959	17954	748
960	17970	729
961	17988	710
962	18005	691
963	18024	673
964	18041	654
965	18060	635
966	18080	617
967	18099	598
968	18117	579
969	18134	560
970	18150	542
971	18168	523
972	18187	504
973	18203	485
974	18221	467
975	18240	448
976	18257	429
977	18276	411
978	18292	392
979	18307	373
980	18322	354
981	18343	336
982	18359	317
983	18375	298
984	18393	280
985	18410	261
986	18428	242
987	18445	224
988	18463	205
989	18483	186
990	18501	168
991	18516	149
992	18538	130
993	18558	112
994	18580	93
995	18600	74
996	18619	56
997	18636	37
998	18653	18
999	18671	0
