iter	Logloss
0	0.6793235519
1	0.6708688915
2	0.6608999543
3	0.6513009533
4	0.6433918919
5	0.637659424
6	0.6322228082
7	0.6277500715
8	0.623326775
9	0.6192326727
10	0.6136104773
11	0.6105497367
12	0.607410009
13	0.6049302654
14	0.6006777547
15	0.5984142846
16	0.5948895745
17	0.5926937569
18	0.5904818411
19	0.588802769
20	0.5870561275
21	0.5856861515
22	0.5844144169
23	0.5830341789
24	0.5805826924
25	0.5792404849
26	0.5783065677
27	0.5770762826
28	0.5763330897
29	0.5752912812
30	0.573756824
31	0.5730317112
32	0.5716979575
33	0.5710983898
34	0.5697854488
35	0.5687570297
36	0.5677356177
37	0.5667697947
38	0.5658903743
39	0.5653974526
40	0.5651080522
41	0.564666928
42	0.5640145566
43	0.5634311866
44	0.5630102579
45	0.5624219048
46	0.561689666
47	0.5613538503
48	0.5608700366
49	0.5605675295
50	0.5601535795
51	0.5598293857
52	0.559435877
53	0.5589348267
54	0.5586298557
55	0.5583147985
56	0.558033493
57	0.5576599285
58	0.5573420584
59	0.5569339159
60	0.55665993
61	0.5563158174
62	0.556062919
63	0.5557181338
64	0.5554983226
65	0.5551242539
66	0.5548999377
67	0.5546562786
68	0.5543978232
69	0.5542223794
70	0.5540420393
71	0.553871069
72	0.5536826171
73	0.5534658286
74	0.5532727526
75	0.5531098879
76	0.5528248456
77	0.5525359494
78	0.5523148696
79	0.5521210315
80	0.5519204475
81	0.5516691772
82	0.5514369533
83	0.5512691653
84	0.5510377486
85	0.5506895412
86	0.550428121
87	0.5502430738
88	0.5500905471
89	0.5498898792
90	0.5497291638
91	0.5494857534
92	0.5493161605
93	0.5491422888
94	0.5489570819
95	0.5487817379
96	0.5486597209
97	0.548494486
98	0.5482918388
99	0.5481273697
100	0.5479845302
101	0.5478426325
102	0.5476843976
103	0.5475211139
104	0.5473707815
105	0.5471798604
106	0.5470323576
107	0.5467900978
108	0.5466160934
109	0.5464935132
110	0.546331281
111	0.546134028
112	0.5460086281
113	0.5458210899
114	0.545697638
115	0.5455740503
116	0.5454608629
117	0.5452490687
118	0.5451038013
119	0.5449247661
120	0.5448060526
121	0.544693463
122	0.5445690475
123	0.5444279577
124	0.5442904862
125	0.5441008603
126	0.5439000298
127	0.5437265993
128	0.5436359945
129	0.5435043794
130	0.5433703588
131	0.5432136918
132	0.5430714414
133	0.5428107159
134	0.5426527641
135	0.5425015921
136	0.5423569457
137	0.5421873449
138	0.5420441394
139	0.5418579875
140	0.5417464723
141	0.5414924816
142	0.5413789894
143	0.5412449511
144	0.541062129
145	0.5409360475
146	0.5408137173
147	0.5406771039
148	0.5405580023
149	0.5404305698
150	0.540314133
151	0.5402051019
152	0.5400638494
153	0.5398942542
154	0.539785906
155	0.5396723831
156	0.5395007999
157	0.5393702783
158	0.53914423
159	0.538995793
160	0.5388556425
161	0.5386884913
162	0.5385492919
163	0.5384287056
164	0.5382919758
165	0.5381399196
166	0.5379250383
167	0.5377853559
168	0.5376770148
169	0.5375894502
170	0.5374300714
171	0.5372785442
172	0.5371374882
173	0.5369821054
174	0.5368324266
175	0.5367253224
176	0.5365803891
177	0.5364597204
178	0.5362553153
179	0.5360729539
180	0.535970431
181	0.5357650716
182	0.5356356674
183	0.5354431045
184	0.535342331
185	0.5351822035
186	0.535090529
187	0.5349728951
188	0.5348396178
189	0.5346076267
190	0.5344908307
191	0.534375106
192	0.5342422864
193	0.5341490686
194	0.5340298163
195	0.5339539105
196	0.5338272064
197	0.5337264023
198	0.5335685196
199	0.5334393303
200	0.533344565
201	0.533214145
202	0.5330754898
203	0.5329109998
204	0.5328109615
205	0.5326436888
206	0.5325641868
207	0.5324622921
208	0.5323803701
209	0.5322392503
210	0.5321104151
211	0.5319895546
212	0.5318863127
213	0.5316984943
214	0.5315862945
215	0.5313945774
216	0.5312545783
217	0.5311403819
218	0.5310169242
219	0.5308504416
220	0.5307648695
221	0.5305809057
222	0.5304091994
223	0.5302933105
224	0.5301572117
225	0.5300405546
226	0.5298783913
227	0.5297793591
228	0.5296305141
229	0.5294997914
230	0.5293528213
231	0.5292005552
232	0.5290619762
233	0.5287967049
234	0.528663236
235	0.5285573701
236	0.5284543171
237	0.5283323757
238	0.528177057
239	0.5279895415
240	0.5279032908
241	0.5277475907
242	0.5275927062
243	0.5274664418
244	0.5273244365
245	0.5271801979
246	0.5271025028
247	0.5269843924
248	0.5268302403
249	0.5266429767
250	0.5265058043
251	0.5263373734
252	0.5262037351
253	0.5259989639
254	0.5259104935
255	0.5257590571
256	0.5256652439
257	0.5255849149
258	0.5254542048
259	0.5252910919
260	0.5251572426
261	0.5250292064
262	0.524927808
263	0.5248270498
264	0.5247197338
265	0.5245658364
266	0.524399389
267	0.5241988755
268	0.5240801096
269	0.5239030996
270	0.5237574398
271	0.5236186337
272	0.5234753963
273	0.523373734
274	0.5232047653
275	0.523070036
276	0.5229223566
277	0.5228181326
278	0.5226093329
279	0.5225271622
280	0.5223216583
281	0.5221506029
282	0.5219395312
283	0.5216860456
284	0.5215640228
285	0.521467829
286	0.521339869
287	0.5212038354
288	0.5210768633
289	0.5209120966
290	0.5207885373
291	0.5206111358
292	0.5204593601
293	0.5203559262
294	0.5201623831
295	0.5200516261
296	0.5198743548
297	0.5197719454
298	0.5195937968
299	0.5195025707
300	0.519397203
301	0.5192208411
302	0.5190693198
303	0.518910174
304	0.5187208479
305	0.5185739867
306	0.5184192657
307	0.5182466754
308	0.5181339448
309	0.5179471695
310	0.5177338246
311	0.5175459322
312	0.5174042661
313	0.5172818511
314	0.5171153739
315	0.5170080361
316	0.5168642613
317	0.5167385654
318	0.5165562129
319	0.5163097305
320	0.5161202237
321	0.5159726844
322	0.5158003652
323	0.5156018118
324	0.5155080245
325	0.5153753364
326	0.5152061795
327	0.5150508014
328	0.5149165041
329	0.5147397063
330	0.5145794355
331	0.514450267
332	0.5143099345
333	0.5140690179
334	0.5138765216
335	0.5137390788
336	0.5135824212
337	0.5133958046
338	0.5131638302
339	0.5129752773
340	0.512762725
341	0.5126132927
342	0.5124268173
343	0.5122579278
344	0.51208039
345	0.5119203352
346	0.5117142902
347	0.511563964
348	0.5114517942
349	0.5112441914
350	0.5110967163
351	0.5109779352
352	0.5107535396
353	0.5106472883
354	0.5104301579
355	0.5102505402
356	0.5101264139
357	0.509957878
358	0.5098035345
359	0.5096695312
360	0.5094773452
361	0.5092522913
362	0.5090382916
363	0.5088170928
364	0.5085624076
365	0.5083426334
366	0.5081893927
367	0.5080567153
368	0.507849995
369	0.5077098352
370	0.5075462423
371	0.5074041472
372	0.5072894898
373	0.5071387065
374	0.5069437714
375	0.5067912851
376	0.5066269358
377	0.5064476722
378	0.5062709827
379	0.5061000893
380	0.5059281532
381	0.5057267229
382	0.5055161462
383	0.5053682059
384	0.5052366299
385	0.5050392452
386	0.5048459771
387	0.5046903664
388	0.5045224852
389	0.5043711799
390	0.5042287736
391	0.5041104794
392	0.5039930014
393	0.5038664311
394	0.5037362312
395	0.5036116257
396	0.5034683001
397	0.5033154943
398	0.5031092305
399	0.5029610538
400	0.502825897
401	0.5026557572
402	0.5024889419
403	0.5023603153
404	0.5021838993
405	0.5020393451
406	0.5018698323
407	0.5017055618
408	0.5015156939
409	0.5013807391
410	0.5012691807
411	0.501129618
412	0.5009896785
413	0.5008177128
414	0.5006818198
415	0.5004670632
416	0.5003504808
417	0.5001937097
418	0.4999795256
419	0.4998385431
420	0.4996589037
421	0.4995018868
422	0.4993495181
423	0.4992136789
424	0.4990692982
425	0.4988699331
426	0.4987309003
427	0.4986121044
428	0.4984467137
429	0.4982965241
430	0.4981656364
431	0.4980028233
432	0.4978542122
433	0.4976874869
434	0.4975198524
435	0.497388469
436	0.4972880555
437	0.4971021383
438	0.496996697
439	0.4969032854
440	0.4967092684
441	0.496578927
442	0.4964076677
443	0.4962532299
444	0.496184495
445	0.4960346238
446	0.4959254356
447	0.4957488233
448	0.4956284697
449	0.4955198799
450	0.4953774045
451	0.4952291814
452	0.4950874389
453	0.4949487014
454	0.4947491128
455	0.4945880181
456	0.4944094468
457	0.4942433006
458	0.4940852101
459	0.4939460652
460	0.4937347344
461	0.4936256172
462	0.4935012476
463	0.4933634814
464	0.4931628574
465	0.4930944989
466	0.4929803355
467	0.4928305961
468	0.4926719513
469	0.4925254102
470	0.4923537508
471	0.4922148003
472	0.4920183091
473	0.4918325852
474	0.4917047933
475	0.4915276513
476	0.491417458
477	0.4912270425
478	0.4910797591
479	0.4908922934
480	0.490755724
481	0.4906164439
482	0.490458893
483	0.4902521186
484	0.4901000734
485	0.4899539677
486	0.4897878657
487	0.489647845
488	0.4895394426
489	0.4893703607
490	0.4892274633
491	0.4890923583
492	0.4889287254
493	0.4887534371
494	0.4886110394
495	0.488483538
496	0.4883804183
497	0.4881999515
498	0.4880540727
499	0.4879170606
500	0.4877959897
501	0.4876295764
502	0.4875029562
503	0.487361859
504	0.4872286029
505	0.4870449881
506	0.4869312439
507	0.4868076197
508	0.4866492987
509	0.4865389633
510	0.4864269304
511	0.4862589918
512	0.4861416436
513	0.48599988
514	0.4858191793
515	0.4856611933
516	0.4855158398
517	0.4853692214
518	0.4852232302
519	0.4850804185
520	0.4849652247
521	0.4848201854
522	0.4846590183
523	0.4845314781
524	0.4843914928
525	0.4842529943
526	0.4841588263
527	0.4840108561
